제목,작성자,작성일,조회수,좋아요
수능 채점 이벤트+교육 이벤트 모음-11.13 update,수만휘,2020.03.13.,69만,N/A
N/A,수만휘,N/A,N/A,N/A
수능 유의사항과 가채점표 파일 배포+자료 및 좋은 글 모음,수만휘,2020.03.13.,84만,N/A
N/A,수만휘,N/A,N/A,N/A
수능 D-1 수능 관련 Q&A 90개 총정리 (제가 알고있는건 다 적어봤습니다),알파카,2024.11.13.,7960,N/A
N/A,알파카,N/A,N/A,N/A
수능 D-1: 마지막 1%의 기적을 만드는 법!! [수능시간대별 행동요령 꼭 체크요망],스밴,2024.11.13.,670,N/A
N/A,스밴,N/A,N/A,N/A
[평가원 요청] 시험 종료 시간 전에 문제나 지문 유출은 주의해 주시면 감사하겠습니다.,수만휘,2023.11.16.,3151,N/A
N/A,수만휘,N/A,N/A,N/A
수능 유경험자 엄마의 수능 전날 팁(재업),다시 살고 싶은 삶,2024.11.12.,7093,N/A
N/A,다시 살고 싶은 삶,N/A,N/A,N/A
[자료] 지구과학I 수능 직전 평가원 필수 기출 정리입니다.,세페이드 멘토,2024.11.12.,802,N/A
N/A,세페이드 멘토,N/A,N/A,N/A
괜찮아 아들아 (3광탈 ㅠㅠ) 그래도 엄만 너가 건강한게 최고야,하늘아래 땅위에서,2024.11.12.,1860,N/A
N/A,하늘아래 땅위에서,N/A,N/A,N/A
"#시리도록눈부신 #NCT도영✨과 함께하는 2025 수험생 응원 LIVE🥰 ❄️수고했어, 우리 모두❄️ (➕️2025 수능 EBSi 풀서비스👍)",WOW EBSi,2024.11.11.,517,N/A
N/A,WOW EBSi,N/A,N/A,N/A
"D-3에 올리는 수능 한국사 벼락치기용 자료, 딱 5페이지 (이것만 외우면 매국노는 면함)",급식실숟가락쓱스틸,2024.11.11.,2427,N/A
N/A,급식실숟가락쓱스틸,N/A,N/A,N/A
"[대성마이맥] ★2025 수능채점 이벤트★ 수능 당일, 채점만 해도 아이폰 16, 에어팟 맥스 등 100% 선물 증정!",대성마이맥,2024.11.11.,580,N/A
N/A,대성마이맥,N/A,N/A,N/A
2025 수능 가채점 분석 Live 설명회 안내,정성민 소장,2024.11.09.,1555,N/A
N/A,정성민 소장,N/A,N/A,N/A
"수만휘 스파르타, 기숙학원 윈터스쿨 선착순 모집",수만휘,2022.10.14.,13만,N/A
N/A,수만휘,N/A,N/A,N/A
서경대 누적 합격생 31명! 스타 강사와 함께하는 미용대학 입시,mbc아카데미뷰티학원,2024.11.07.,384,N/A
N/A,mbc아카데미뷰티학원,N/A,N/A,N/A
📣APPLE 아이폰 15 100% 당첨! 🎁 그려봐! 나의 상승곡선!,김영편입,2024.11.04.,222,N/A
N/A,김영편입,N/A,N/A,N/A
안성재 쉐프가 만든 것 같은 국어 모의고사 여기 있어요.,메리포핀스북스,2024.10.18.,2634,N/A
N/A,메리포핀스북스,N/A,N/A,N/A
대학생 과외 관련 총정리 글(장문),Cogito Ergo Sum,2023.01.18.,5.5만,N/A
N/A,Cogito Ergo Sum,N/A,N/A,N/A
수만휘 활동 규정(개정),수만휘,2021.07.31.,67만,N/A
N/A,수만휘,N/A,N/A,N/A
상명대 발표 날짜,숙대25학번,01:22,11,N/A
N/A,숙대25학번,N/A,N/A,N/A
모루의 인형 키링 만들기 수능 이벤트,탕후루키링,01:22,7,N/A
N/A,탕후루키링,N/A,N/A,N/A
수학 기도메타,다시시작했,01:21,23,N/A
N/A,다시시작했,N/A,N/A,N/A
[서울권] [문창과 산문 과외] 오직 1명만 문창과 입시 오프라인 과외 - 원서 접수부터 대학교 1학기 과제까지 완벽대비,여기글이쓰,01:20,1,N/A
N/A,여기글이쓰,N/A,N/A,N/A
윤사 스피노자,콩떡0,01:20,8,N/A
N/A,콩떡0,N/A,N/A,N/A
수능이 괴랄한건지 내 노력이 부족했던건지,25학번 간다,01:20,55,N/A
N/A,25학번 간다,N/A,N/A,N/A
[미대 수시] 상명대천안 합격가능할까요?,금화 08,01:19,22,N/A
N/A,금화 08,N/A,N/A,N/A
동덕 동양화,huhulxx,01:19,12,N/A
N/A,huhulxx,N/A,N/A,N/A
중학교때 밤새는 연습 몇번 해볼걸 그랬나봐요,고1 화이팅,01:19,44,N/A
N/A,고1 화이팅,N/A,N/A,N/A
간호학과 둘중 어디로 갈까요...,alswldi3281,01:19,19,N/A
N/A,alswldi3281,N/A,N/A,N/A
수능 후 수업,가무자깡,01:19,36,N/A
N/A,가무자깡,N/A,N/A,N/A
아쉽네요..,무조건붙는다생각해,01:19,33,N/A
N/A,무조건붙는다생각해,N/A,N/A,N/A
수능 전날인데 잠을 못자는 이유는,자유와진리,01:15,263,N/A
N/A,자유와진리,N/A,N/A,N/A
상지대 임상병리 vs 극동대 임상병리,죽은듯이공부만,01:15,24,N/A
N/A,죽은듯이공부만,N/A,N/A,N/A
수능장 도착,제발저좀붙어주세요,01:15,199,N/A
N/A,제발저좀붙어주세요,N/A,N/A,N/A
수능 볼 때 캡모자 써도 되나요?,llilillllllllllil,00:10,430,N/A
N/A,llilillllllllllil,N/A,N/A,N/A
수능 세번 응시했는데 질문받습니다,LimitSEE,00:10,604,N/A
N/A,LimitSEE,N/A,N/A,N/A
다들 화이팅하세요 긴장하지말고 잘 보고옵시다,Dim ple,00:10,32,N/A
N/A,Dim ple,N/A,N/A,N/A
수능 도시락,위위플래쉬,00:09,364,N/A
N/A,위위플래쉬,N/A,N/A,N/A
대가대 의대 기출 경향 및 문제 분석 - 서울대 문제를 따라가고 있습니다,르클,00:09,40,N/A
N/A,르클,N/A,N/A,N/A
가채점표 추천,Livien,00:08,436,N/A
N/A,Livien,N/A,N/A,N/A
수험생 특,skuk,00:07,130,N/A
N/A,skuk,N/A,N/A,N/A
수능시계 잃어버렸어요 학교앞에 파나요도와주세요ㅠㅠㅠㅠㅠ,Jogsgeywywysgfvtgthh,00:07,717,N/A
N/A,Jogsgeywywysgfvtgthh,N/A,N/A,N/A
수능볼때 실내화 가져가나요,ttm3815,00:06,372,N/A
N/A,ttm3815,N/A,N/A,N/A
예비합격번호..??,미대합격시켜주세요,00:06,238,N/A
N/A,미대합격시켜주세요,N/A,N/A,N/A
아 지금 일어났는디 ㅈ된것 같아요..,반수 on,00:06,1045,N/A
N/A,반수 on,N/A,N/A,N/A
학종 면접 넣었으면 수능 안가도 되는거 맞죠,lillllililliili,00:06,522,N/A
N/A,lillllililliili,N/A,N/A,N/A
예열지문 수완,농뇨로뇽,00:06,121,N/A
N/A,농뇨로뇽,N/A,N/A,N/A
입시 실패하면 어떻게 해야될까요,25학번 간다,00:05,352,N/A
N/A,25학번 간다,N/A,N/A,N/A
신분증이랑 수험표 질문이요ㅜ,Livien,00:05,283,N/A
N/A,Livien,N/A,N/A,N/A
화이트나 샤프심,김ㅀ,2024.11.13.,248,N/A
N/A,김ㅀ,N/A,N/A,N/A
수능 준비물+질문,주쿵이,2024.11.13.,449,N/A
N/A,주쿵이,N/A,N/A,N/A
생윤 아리스토텔레스 환경윤리,3141592653,2024.11.13.,66,N/A
N/A,3141592653,N/A,N/A,N/A
사문 등급 컷,초보입니다ㅏ,2024.11.13.,118,N/A
N/A,초보입니다ㅏ,N/A,N/A,N/A
논술 안보는 사람은 굳이 가채점표 쓸 필요 없겠죠?12월 6일에 어차피 나오는 걸로 알고 있는데,연세대학교,2024.11.13.,269,N/A
N/A,연세대학교,N/A,N/A,N/A
수능장에서,합격기원제발제발요,2024.11.13.,105,N/A
N/A,합격기원제발제발요,N/A,N/A,N/A
창가나 복도자리에서,기린0,2024.11.13.,153,N/A
N/A,기린0,N/A,N/A,N/A
전남대 면접,우다미ㅇ,2024.11.13.,102,N/A
N/A,우다미ㅇ,N/A,N/A,N/A
수능시계 1분빨리,합격만바라봐,2024.11.13.,381,N/A
N/A,합격만바라봐,N/A,N/A,N/A
수능 시험장에 블루투스 키보드 반입 가능한가요?,따땃한 달걀찜,2024.11.13.,124,N/A
N/A,따땃한 달걀찜,N/A,N/A,N/A
수능 금속탐지기,김으앙,2024.11.13.,260,N/A
N/A,김으앙,N/A,N/A,N/A
화이트 질문,깅 유,2024.11.13.,104,N/A
N/A,깅 유,N/A,N/A,N/A
진짜 궁금한건데,고삼이 되,2024.11.13.,137,N/A
N/A,고삼이 되,N/A,N/A,N/A
영어 듣기,마이우우,2024.11.13.,138,N/A
N/A,마이우우,N/A,N/A,N/A
사문 총동문회 총동창회,IiiIiiIiIIiIilIIil,2024.11.13.,157,N/A
N/A,IiiIiiIiIIiIilIIil,N/A,N/A,N/A
수능때 몇 분 남았는지 알려 주나요?,비니06,2024.11.13.,665,N/A
N/A,비니06,N/A,N/A,N/A
"국어,수학 안보는 최저러인데 국어 에열지문 풀 시간에 뭘하면 좋을까요?",Pandodjdk,2024.11.13.,129,N/A
N/A,Pandodjdk,N/A,N/A,N/A
Ebs 파이널 실전모의고사 7회,IllllllIIIIllllII,2024.11.13.,50,N/A
N/A,IllllllIIIIllllII,N/A,N/A,N/A
내일 아침 시험장 갈 때 보면 좋을 빈출 영어단어 정리해놨으니까 보고가요!,수능영어강사,2024.11.13.,294,N/A
N/A,수능영어강사,N/A,N/A,N/A
청주대 예비,위이익잉,2024.11.13.,51,N/A
N/A,위이익잉,N/A,N/A,N/A
날짜 표시 있는 시계 갖고계신 분,dkanjgkwll,2024.11.13.,127,N/A
N/A,dkanjgkwll,N/A,N/A,N/A
낼 대학교 강의 버리고 수능 깔아주러 가요,lilllililililllliiii,2024.11.13.,636,N/A
N/A,lilllililililllliiii,N/A,N/A,N/A
서울과기대 한국사컷 없는거맞죠?,샤랄라2212,2024.11.13.,211,N/A
N/A,샤랄라2212,N/A,N/A,N/A
수능 때 휴대폰 제출 언제하나요?,현역대학입학ㄱ,2024.11.13.,414,N/A
N/A,현역대학입학ㄱ,N/A,N/A,N/A
생기부 작성 팁 좀 주세요,Roserosa,2024.11.13.,82,N/A
N/A,Roserosa,N/A,N/A,N/A
아침에 커피 한두모금,Wonnniiii,2024.11.13.,214,N/A
N/A,Wonnniiii,N/A,N/A,N/A
사회문화 절대 상대 빈곤 질문,노답곰,2024.11.13.,84,N/A
N/A,노답곰,N/A,N/A,N/A
이정도면 이번 수능 윤사 1등급 받을 수 있을까요?,밥상다리,2024.11.13.,148,N/A
N/A,밥상다리,N/A,N/A,N/A
루소 주권 대리x??,유후룰,2024.11.13.,54,N/A
N/A,유후룰,N/A,N/A,N/A
이미 늦었지만..,인생은 쓰,2024.11.13.,330,N/A
N/A,인생은 쓰,N/A,N/A,N/A
수능 국어 등급,liillliiilili,2024.11.13.,201,N/A
N/A,liillliiilili,N/A,N/A,N/A
영어 듣기 때ㅜㅜ,네루네,2024.11.13.,329,N/A
N/A,네루네,N/A,N/A,N/A
시험지에 이름이랑 수험번호 쓰는 시간,lIiiIillliiIIiiIilll,2024.11.13.,181,N/A
N/A,lIiiIillliiIIiiIilll,N/A,N/A,N/A
[미대 정시] 국민대 공예 건대 영상,liliiliiiiiilllllii,2024.11.13.,141,N/A
N/A,liliiliiiiiilllllii,N/A,N/A,N/A
궁금띠,imimimimimm,2024.11.13.,39,N/A
N/A,imimimimimm,N/A,N/A,N/A
수능대기실 분위기,llilliilllilllmy,2024.11.13.,164,N/A
N/A,llilliilllilllmy,N/A,N/A,N/A
수능 한국사,문을연다람쥐,2024.11.13.,86,N/A
N/A,문을연다람쥐,N/A,N/A,N/A
샤프심,IiiIiiIiIIiIilIIil,2024.11.13.,102,N/A
N/A,IiiIiiIiIIiIilIIil,N/A,N/A,N/A
전문대 추천 부탁드립니다,Bububububibibubibu,2024.11.13.,125,N/A
N/A,Bububububibibubibu,N/A,N/A,N/A
가채점표 질문 제발여!,ㅡㅡㅡㅡ12,2024.11.13.,438,N/A
N/A,ㅡㅡㅡㅡ12,N/A,N/A,N/A
수능 가채점표,허수대표,2024.11.13.,277,N/A
N/A,허수대표,N/A,N/A,N/A
롤스 정형적분배,젭알우우우어,2024.11.13.,58,N/A
N/A,젭알우우우어,N/A,N/A,N/A
1년 동안 나름 할만큼 했습니다,신선한신선,2024.11.13.,307,N/A
N/A,신선한신선,N/A,N/A,N/A
수능 신분증 확인 시점,고대경영25학번,2024.11.13.,161,N/A
N/A,고대경영25학번,N/A,N/A,N/A
[빠지실분] 과기대 조형예술학과,경기트리119,2024.11.13.,54,N/A
N/A,경기트리119,N/A,N/A,N/A
4교시 5교시,보마니,2024.11.13.,163,N/A
N/A,보마니,N/A,N/A,N/A
수능 도중 간식,복숭아레몬아이스티,2024.11.13.,489,N/A
N/A,복숭아레몬아이스티,N/A,N/A,N/A
수능 점심시간 공부,대대대대학합격,2024.11.13.,472,N/A
N/A,대대대대학합격,N/A,N/A,N/A
팀 공육에게 남기는 응원,이햇살뿅,2024.11.13.,229,N/A
N/A,이햇살뿅,N/A,N/A,N/A
🍀🍀,ilililiililililllili,2024.11.13.,39,N/A
N/A,ilililiililililllili,N/A,N/A,N/A
수학문제 질문,llililiilliliil,2024.11.13.,113,N/A
N/A,llililiilliliil,N/A,N/A,N/A
국어 예열지문,날제발붙여줘,2024.11.13.,277,N/A
N/A,날제발붙여줘,N/A,N/A,N/A
안녕하세요!,콩알인절미,2024.11.13.,10,N/A
N/A,콩알인절미,N/A,N/A,N/A
가천대 지균 수험표?,swdkvj,2024.11.13.,75,N/A
N/A,swdkvj,N/A,N/A,N/A
다들 오늘 몇시에 주무시나요,IlllllIIIIllIlI,2024.11.13.,762,N/A
N/A,IlllllIIIIllIlI,N/A,N/A,N/A
수능날 옷,대학은한번에,2024.11.13.,472,N/A
N/A,대학은한번에,N/A,N/A,N/A
귀마개,대학 보내달라아아,2024.11.13.,174,N/A
N/A,대학 보내달라아아,N/A,N/A,N/A
생윤 칸트 감정 배제해야 하나요??,IIIIllllIIIIlll,2024.11.13.,142,N/A
N/A,IIIIllllIIIIlll,N/A,N/A,N/A
수능 끝나면,Wangang,2024.11.13.,277,N/A
N/A,Wangang,N/A,N/A,N/A
수능 컴싸 플러스펜,내 꿈은 25학번,2024.11.13.,298,N/A
N/A,내 꿈은 25학번,N/A,N/A,N/A
1교시 이후 수능 포기 각서,힝나여,2024.11.13.,513,N/A
N/A,힝나여,N/A,N/A,N/A
화장실 갔다가,llooollooll,2024.11.13.,233,N/A
N/A,llooollooll,N/A,N/A,N/A
예열 지문 뭐 챙겨야 하나요??,멍미버섯,2024.11.13.,439,N/A
N/A,멍미버섯,N/A,N/A,N/A
[카이스트] 카이스트 2020년 화학 면접 기출 질문드립니다..,nashequilibrium,2024.11.13.,80,N/A
N/A,nashequilibrium,N/A,N/A,N/A
탐구시험볼때,JY13,2024.11.13.,122,N/A
N/A,JY13,N/A,N/A,N/A
내일 휴대폰 가방안에 보관,간호학과고고,2024.11.13.,636,N/A
N/A,간호학과고고,N/A,N/A,N/A
칸트 예술론,Wheuqqss,2024.11.13.,56,N/A
N/A,Wheuqqss,N/A,N/A,N/A
4교시 탐구 시험지 수험번호 이름 기재할때요,greentia,2024.11.13.,289,N/A
N/A,greentia,N/A,N/A,N/A
건대랑 시립대는 조기발표 잘 안하나요?,kdi0612151,2024.11.13.,528,N/A
N/A,kdi0612151,N/A,N/A,N/A
상명대 천안,대학나락가,2024.11.13.,382,N/A
N/A,대학나락가,N/A,N/A,N/A
수시6광탈,ilillillilliill,2024.11.13.,784,N/A
N/A,ilillillilliill,N/A,N/A,N/A
짝수형 찍기,asjsh,2024.11.13.,402,N/A
N/A,asjsh,N/A,N/A,N/A
생윤 질문 분배적정의 ㅜㅜ,감자니모,2024.11.13.,117,N/A
N/A,감자니모,N/A,N/A,N/A
😢😢본죽이랑 본죽 반찬을 김치냉장고 안에 넣으면 부적절한가요?,0o0oii,2024.11.13.,363,N/A
N/A,0o0oii,N/A,N/A,N/A
수험표 뒤에 가채점표,간호학과 갈과,2024.11.13.,500,N/A
N/A,간호학과 갈과,N/A,N/A,N/A
최저 2합4제발 드가자,kunn,2024.11.13.,235,N/A
N/A,kunn,N/A,N/A,N/A
수능샤프 언제,디라라,2024.11.13.,438,N/A
N/A,디라라,N/A,N/A,N/A
수능 영어 듣기,코콬킼ㅋ켘,2024.11.13.,237,N/A
N/A,코콬킼ㅋ켘,N/A,N/A,N/A
수능 탐구볼때,뽀쁘,2024.11.13.,192,N/A
N/A,뽀쁘,N/A,N/A,N/A
한 번씩만 더 인지도 높은 대학 투표해주세요 ㅠㅠ,고맙다정말,2024.11.13.,297,N/A
N/A,고맙다정말,N/A,N/A,N/A
사문 복지제도 통계 질문,벼농사,2024.11.13.,103,N/A
N/A,벼농사,N/A,N/A,N/A
수능최저가능?,illlililli,2024.11.13.,347,N/A
N/A,illlililli,N/A,N/A,N/A
근데 올해 진짜 n수 많이하는거 같은게,iiiIiIiiililiiIlill,2024.11.13.,764,N/A
N/A,iiiIiIiiililiiIlill,N/A,N/A,N/A
혹시 수능볼때 자면,집가고싶가,2024.11.13.,394,N/A
N/A,집가고싶가,N/A,N/A,N/A
반갑습니다.,제로리80,2024.11.13.,19,N/A
N/A,제로리80,N/A,N/A,N/A
사회문화 질문이요!,음어카지,2024.11.13.,99,N/A
N/A,음어카지,N/A,N/A,N/A
수능장 연초,뮌헨사랑함,2024.11.13.,302,N/A
N/A,뮌헨사랑함,N/A,N/A,N/A
"정시러들, 최저있는 06들 수능 화이팅!",대학아내가간다ㅏㅏ,2024.11.13.,125,N/A
N/A,대학아내가간다ㅏㅏ,N/A,N/A,N/A
"현역 질문있어요,,",우웅취,2024.11.13.,185,N/A
N/A,우웅취,N/A,N/A,N/A
예비 확인 하는 방법,짬뽕맛카레,2024.11.13.,154,N/A
N/A,짬뽕맛카레,N/A,N/A,N/A
최저 있는 친구들🍀,wosia,2024.11.13.,450,N/A
N/A,wosia,N/A,N/A,N/A
정법 질문,jjjjijnJjkAn,2024.11.13.,48,N/A
N/A,jjjjijnJjkAn,N/A,N/A,N/A
2번자리 어떤가요 ㅠㅠ?,liiiiilllllilillilil,2024.11.13.,217,N/A
N/A,liiiiilllllilillilil,N/A,N/A,N/A
