제목,작성자,작성일,조회수,좋아요
수능 채점 이벤트+교육 이벤트 모음-11.13 update,수만휘,2020.03.13.,69만,N/A
N/A,수만휘,N/A,N/A,N/A
수능 유의사항과 가채점표 파일 배포+자료 및 좋은 글 모음,수만휘,2020.03.13.,84만,N/A
N/A,수만휘,N/A,N/A,N/A
수능 D-1 수능 관련 Q&A 90개 총정리 (제가 알고있는건 다 적어봤습니다),알파카,2024.11.13.,7997,N/A
N/A,알파카,N/A,N/A,N/A
수능 D-1: 마지막 1%의 기적을 만드는 법!! [수능시간대별 행동요령 꼭 체크요망],스밴,2024.11.13.,678,N/A
N/A,스밴,N/A,N/A,N/A
[평가원 요청] 시험 종료 시간 전에 문제나 지문 유출은 주의해 주시면 감사하겠습니다.,수만휘,2023.11.16.,3152,N/A
N/A,수만휘,N/A,N/A,N/A
수능 유경험자 엄마의 수능 전날 팁(재업),다시 살고 싶은 삶,2024.11.12.,7105,N/A
N/A,다시 살고 싶은 삶,N/A,N/A,N/A
[자료] 지구과학I 수능 직전 평가원 필수 기출 정리입니다.,세페이드 멘토,2024.11.12.,804,N/A
N/A,세페이드 멘토,N/A,N/A,N/A
괜찮아 아들아 (3광탈 ㅠㅠ) 그래도 엄만 너가 건강한게 최고야,하늘아래 땅위에서,2024.11.12.,1865,N/A
N/A,하늘아래 땅위에서,N/A,N/A,N/A
"#시리도록눈부신 #NCT도영✨과 함께하는 2025 수험생 응원 LIVE🥰 ❄️수고했어, 우리 모두❄️ (➕️2025 수능 EBSi 풀서비스👍)",WOW EBSi,2024.11.11.,517,N/A
N/A,WOW EBSi,N/A,N/A,N/A
"D-3에 올리는 수능 한국사 벼락치기용 자료, 딱 5페이지 (이것만 외우면 매국노는 면함)",급식실숟가락쓱스틸,2024.11.11.,2429,N/A
N/A,급식실숟가락쓱스틸,N/A,N/A,N/A
"[대성마이맥] ★2025 수능채점 이벤트★ 수능 당일, 채점만 해도 아이폰 16, 에어팟 맥스 등 100% 선물 증정!",대성마이맥,2024.11.11.,580,N/A
N/A,대성마이맥,N/A,N/A,N/A
2025 수능 가채점 분석 Live 설명회 안내,정성민 소장,2024.11.09.,1556,N/A
N/A,정성민 소장,N/A,N/A,N/A
"수만휘 스파르타, 기숙학원 윈터스쿨 선착순 모집",수만휘,2022.10.14.,13만,N/A
N/A,수만휘,N/A,N/A,N/A
서경대 누적 합격생 31명! 스타 강사와 함께하는 미용대학 입시,mbc아카데미뷰티학원,2024.11.07.,384,N/A
N/A,mbc아카데미뷰티학원,N/A,N/A,N/A
📣APPLE 아이폰 15 100% 당첨! 🎁 그려봐! 나의 상승곡선!,김영편입,2024.11.04.,222,N/A
N/A,김영편입,N/A,N/A,N/A
안성재 쉐프가 만든 것 같은 국어 모의고사 여기 있어요.,메리포핀스북스,2024.10.18.,2634,N/A
N/A,메리포핀스북스,N/A,N/A,N/A
대학생 과외 관련 총정리 글(장문),Cogito Ergo Sum,2023.01.18.,5.5만,N/A
N/A,Cogito Ergo Sum,N/A,N/A,N/A
수만휘 활동 규정(개정),수만휘,2021.07.31.,67만,N/A
N/A,수만휘,N/A,N/A,N/A
광주대 호남대 동신대 응급구조학과,wkdtn9618,01:55,0,N/A
N/A,wkdtn9618,N/A,N/A,N/A
"수능을 준비하는, 모든 수험생들에게",미뇽147,01:55,15,N/A
N/A,미뇽147,N/A,N/A,N/A
지구 등급,사건은다가와아오예이,01:54,1,N/A
N/A,사건은다가와아오예이,N/A,N/A,N/A
한양여대 추합,llllIlllllIlllIIllI,01:54,9,N/A
N/A,llllIlllllIlllIIllI,N/A,N/A,N/A
전문대 물치,ililliiiillil,01:53,5,N/A
N/A,ililliiiillil,N/A,N/A,N/A
아침 모 먹죠???,캠퍼토리,01:53,40,N/A
N/A,캠퍼토리,N/A,N/A,N/A
연세대 활우 면접준비ㅡ책추천좀요,캠퍼토리,01:50,14,N/A
N/A,캠퍼토리,N/A,N/A,N/A
[미대 수시] 중앙대 시디과 시험보신분있나여,illlillilillilli,01:50,8,N/A
N/A,illlillilillilli,N/A,N/A,N/A
잠이 안오는 수험생들 파이팅😊,돼장1,01:49,62,N/A
N/A,돼장1,N/A,N/A,N/A
내년 이맘때는 저도 수능을 앞두고 있겠죠,김마옹,01:47,68,N/A
N/A,김마옹,N/A,N/A,N/A
수학,나를받아줘건국대,01:46,26,N/A
N/A,나를받아줘건국대,N/A,N/A,N/A
수시 정시 뭐가 맞을까요,리감쟈,01:45,83,N/A
N/A,리감쟈,N/A,N/A,N/A
잠 안와버리심 소화안됨,정파정파,01:44,143,N/A
N/A,정파정파,N/A,N/A,N/A
다들 수능 잘 보고 성대 오기🐥🍀🫶,창과방패2,01:44,87,N/A
N/A,창과방패2,N/A,N/A,N/A
미적 76이면,25학번 간다,01:43,74,N/A
N/A,25학번 간다,N/A,N/A,N/A
수능 채점 이벤트+교육 이벤트 모음-11.13 update,수만휘,2020.03.13.,69만,N/A
N/A,수만휘,N/A,N/A,N/A
수능 유의사항과 가채점표 파일 배포+자료 및 좋은 글 모음,수만휘,2020.03.13.,84만,N/A
N/A,수만휘,N/A,N/A,N/A
수능 D-1 수능 관련 Q&A 90개 총정리 (제가 알고있는건 다 적어봤습니다),알파카,2024.11.13.,7997,N/A
N/A,알파카,N/A,N/A,N/A
수능 D-1: 마지막 1%의 기적을 만드는 법!! [수능시간대별 행동요령 꼭 체크요망],스밴,2024.11.13.,678,N/A
N/A,스밴,N/A,N/A,N/A
[평가원 요청] 시험 종료 시간 전에 문제나 지문 유출은 주의해 주시면 감사하겠습니다.,수만휘,2023.11.16.,3152,N/A
N/A,수만휘,N/A,N/A,N/A
수능 유경험자 엄마의 수능 전날 팁(재업),다시 살고 싶은 삶,2024.11.12.,7105,N/A
N/A,다시 살고 싶은 삶,N/A,N/A,N/A
[자료] 지구과학I 수능 직전 평가원 필수 기출 정리입니다.,세페이드 멘토,2024.11.12.,804,N/A
N/A,세페이드 멘토,N/A,N/A,N/A
괜찮아 아들아 (3광탈 ㅠㅠ) 그래도 엄만 너가 건강한게 최고야,하늘아래 땅위에서,2024.11.12.,1865,N/A
N/A,하늘아래 땅위에서,N/A,N/A,N/A
"#시리도록눈부신 #NCT도영✨과 함께하는 2025 수험생 응원 LIVE🥰 ❄️수고했어, 우리 모두❄️ (➕️2025 수능 EBSi 풀서비스👍)",WOW EBSi,2024.11.11.,517,N/A
N/A,WOW EBSi,N/A,N/A,N/A
"D-3에 올리는 수능 한국사 벼락치기용 자료, 딱 5페이지 (이것만 외우면 매국노는 면함)",급식실숟가락쓱스틸,2024.11.11.,2429,N/A
N/A,급식실숟가락쓱스틸,N/A,N/A,N/A
"[대성마이맥] ★2025 수능채점 이벤트★ 수능 당일, 채점만 해도 아이폰 16, 에어팟 맥스 등 100% 선물 증정!",대성마이맥,2024.11.11.,580,N/A
N/A,대성마이맥,N/A,N/A,N/A
2025 수능 가채점 분석 Live 설명회 안내,정성민 소장,2024.11.09.,1556,N/A
N/A,정성민 소장,N/A,N/A,N/A
"수만휘 스파르타, 기숙학원 윈터스쿨 선착순 모집",수만휘,2022.10.14.,13만,N/A
N/A,수만휘,N/A,N/A,N/A
서경대 누적 합격생 31명! 스타 강사와 함께하는 미용대학 입시,mbc아카데미뷰티학원,2024.11.07.,384,N/A
N/A,mbc아카데미뷰티학원,N/A,N/A,N/A
📣APPLE 아이폰 15 100% 당첨! 🎁 그려봐! 나의 상승곡선!,김영편입,2024.11.04.,222,N/A
N/A,김영편입,N/A,N/A,N/A
안성재 쉐프가 만든 것 같은 국어 모의고사 여기 있어요.,메리포핀스북스,2024.10.18.,2634,N/A
N/A,메리포핀스북스,N/A,N/A,N/A
대학생 과외 관련 총정리 글(장문),Cogito Ergo Sum,2023.01.18.,5.5만,N/A
N/A,Cogito Ergo Sum,N/A,N/A,N/A
수만휘 활동 규정(개정),수만휘,2021.07.31.,67만,N/A
N/A,수만휘,N/A,N/A,N/A
광주대 호남대 동신대 응급구조학과,wkdtn9618,01:55,0,N/A
N/A,wkdtn9618,N/A,N/A,N/A
"수능을 준비하는, 모든 수험생들에게",미뇽147,01:55,16,N/A
N/A,미뇽147,N/A,N/A,N/A
지구 등급,사건은다가와아오예이,01:54,1,N/A
N/A,사건은다가와아오예이,N/A,N/A,N/A
한양여대 추합,llllIlllllIlllIIllI,01:54,10,N/A
N/A,llllIlllllIlllIIllI,N/A,N/A,N/A
전문대 물치,ililliiiillil,01:53,5,N/A
N/A,ililliiiillil,N/A,N/A,N/A
아침 모 먹죠???,캠퍼토리,01:53,41,N/A
N/A,캠퍼토리,N/A,N/A,N/A
연세대 활우 면접준비ㅡ책추천좀요,캠퍼토리,01:50,14,N/A
N/A,캠퍼토리,N/A,N/A,N/A
[미대 수시] 중앙대 시디과 시험보신분있나여,illlillilillilli,01:50,8,N/A
N/A,illlillilillilli,N/A,N/A,N/A
잠이 안오는 수험생들 파이팅😊,돼장1,01:49,64,N/A
N/A,돼장1,N/A,N/A,N/A
내년 이맘때는 저도 수능을 앞두고 있겠죠,김마옹,01:47,69,N/A
N/A,김마옹,N/A,N/A,N/A
수학,나를받아줘건국대,01:46,26,N/A
N/A,나를받아줘건국대,N/A,N/A,N/A
수시 정시 뭐가 맞을까요,리감쟈,01:45,83,N/A
N/A,리감쟈,N/A,N/A,N/A
잠 안와버리심 소화안됨,정파정파,01:44,143,N/A
N/A,정파정파,N/A,N/A,N/A
다들 수능 잘 보고 성대 오기🐥🍀🫶,창과방패2,01:44,88,N/A
N/A,창과방패2,N/A,N/A,N/A
미적 76이면,25학번 간다,01:43,74,N/A
N/A,25학번 간다,N/A,N/A,N/A
대학 충원율 질문,제ㅠ발,01:42,88,N/A
N/A,제ㅠ발,N/A,N/A,N/A
숙대 1차 합격 기원,illlilillllililll,01:41,30,N/A
N/A,illlilillllililll,N/A,N/A,N/A
마지막 발악으로,25학번 간다,01:41,112,N/A
N/A,25학번 간다,N/A,N/A,N/A
자기소개 인재상,대학꾜가자,01:41,28,N/A
N/A,대학꾜가자,N/A,N/A,N/A
시험중간 화장실,sunshine06,01:40,73,N/A
N/A,sunshine06,N/A,N/A,N/A
반말고 다른데서 수능 도시락머거도 되나요?,lIlIllIIIllIIIl,01:38,204,N/A
N/A,lIlIllIIIllIIIl,N/A,N/A,N/A
예비고3 인강추천해주세요‘ㅜ!!,삼각애봉,01:36,18,N/A
N/A,삼각애봉,N/A,N/A,N/A
그냥 잘까요 사탐 개념 더 볼까요,ilililililillliiiill,01:36,323,N/A
N/A,ilililililillliiiill,N/A,N/A,N/A
수험장 입실 시간,iliiiililillllii,01:35,129,N/A
N/A,iliiiililillllii,N/A,N/A,N/A
삼육대vs가천대,onyourmark0,01:35,117,N/A
N/A,onyourmark0,N/A,N/A,N/A
수능보러갈때,성은1022,01:34,126,N/A
N/A,성은1022,N/A,N/A,N/A
팔찌착용,sunshine06,01:33,96,N/A
N/A,sunshine06,N/A,N/A,N/A
수리논술 물리논술 파이널 3회완성,인설치대생,01:30,8,N/A
N/A,인설치대생,N/A,N/A,N/A
잠 안올 때 백색소음 들으세여ㅠ,미대합격시켜주세요,01:30,82,N/A
N/A,미대합격시켜주세요,N/A,N/A,N/A
일반고 1.87로 고려대 경영 합격한 생기부 판매합니다,혀여기,01:29,115,N/A
N/A,혀여기,N/A,N/A,N/A
한국사 이정도면 4뜨겠죠?,다시시작했,01:28,244,N/A
N/A,다시시작했,N/A,N/A,N/A
수능 시계,부히힛,01:27,124,N/A
N/A,부히힛,N/A,N/A,N/A
잠 안와서 걱정인 분 들어와보세여,자유와진리,01:27,332,N/A
N/A,자유와진리,N/A,N/A,N/A
수시 중앙대 다빈치 서양화,제ㅠ발,01:26,29,N/A
N/A,제ㅠ발,N/A,N/A,N/A
상명대 발표 날짜,숙대25학번,01:22,69,N/A
N/A,숙대25학번,N/A,N/A,N/A
모루의 인형 키링 만들기 수능 이벤트,탕후루키링,01:22,53,N/A
N/A,탕후루키링,N/A,N/A,N/A
수학 기도메타,다시시작했,01:21,105,N/A
N/A,다시시작했,N/A,N/A,N/A
[서울권] [문창과 산문 과외] 오직 1명만 문창과 입시 오프라인 과외 - 원서 접수부터 대학교 1학기 과제까지 완벽대비,여기글이쓰,01:20,3,N/A
N/A,여기글이쓰,N/A,N/A,N/A
윤사 스피노자,콩떡0,01:20,37,N/A
N/A,콩떡0,N/A,N/A,N/A
수능이 괴랄한건지 내 노력이 부족했던건지,25학번 간다,01:20,292,N/A
N/A,25학번 간다,N/A,N/A,N/A
[미대 수시] 상명대천안 합격가능할까요?,금화 08,01:19,64,N/A
N/A,금화 08,N/A,N/A,N/A
중학교때 밤새는 연습 몇번 해볼걸 그랬나봐요,고1 화이팅,01:19,251,N/A
N/A,고1 화이팅,N/A,N/A,N/A
간호학과 둘중 어디로 갈까요...,alswldi3281,01:19,99,N/A
N/A,alswldi3281,N/A,N/A,N/A
수능 후 수업,가무자깡,01:19,168,N/A
N/A,가무자깡,N/A,N/A,N/A
아쉽네요..,무조건붙는다생각해,01:19,107,N/A
N/A,무조건붙는다생각해,N/A,N/A,N/A
수능 전날인데 잠을 못자는 이유는,자유와진리,01:15,634,N/A
N/A,자유와진리,N/A,N/A,N/A
상지대 임상병리 vs 극동대 임상병리,죽은듯이공부만,01:15,50,N/A
N/A,죽은듯이공부만,N/A,N/A,N/A
수능장 도착,제발저좀붙어주세요,01:15,432,N/A
N/A,제발저좀붙어주세요,N/A,N/A,N/A
생기부,제발인서울어디든,01:15,82,N/A
N/A,제발인서울어디든,N/A,N/A,N/A
다들 잘자요!,ㅡㅡㅡㅡ12,01:14,70,N/A
N/A,ㅡㅡㅡㅡ12,N/A,N/A,N/A
중화반응 질문,Llllliiiiiu,01:14,39,N/A
N/A,Llllliiiiiu,N/A,N/A,N/A
여러분들이 무엇을 하든 이제 주사위는 던져졌습니다,rbals,01:14,136,N/A
N/A,rbals,N/A,N/A,N/A
대학 라인 봐주세요,25학번 간다,01:14,201,N/A
N/A,25학번 간다,N/A,N/A,N/A
아니 수능 보는데 아직도 안잔다고?,현시로,01:13,489,N/A
N/A,현시로,N/A,N/A,N/A
수시 재수생,홀리몰리과카몰리냠,01:12,281,N/A
N/A,홀리몰리과카몰리냠,N/A,N/A,N/A
예비고3입니다,말하는다람쥐,01:12,90,N/A
N/A,말하는다람쥐,N/A,N/A,N/A
수능때 어떤 기분이었더라,자유와진리,01:11,180,N/A
N/A,자유와진리,N/A,N/A,N/A
잠 안오시는 분들께,나세종캠아니다,01:11,246,N/A
N/A,나세종캠아니다,N/A,N/A,N/A
전주대 시디과 예비5번,내애,01:11,37,N/A
N/A,내애,N/A,N/A,N/A
솔직히 희망 없는데,25학번 간다,01:10,271,N/A
N/A,25학번 간다,N/A,N/A,N/A
수험표,밐수민,01:09,93,N/A
N/A,밐수민,N/A,N/A,N/A
제발 이제 잡시다 ㅜㅜ,lillililillilillilil,01:09,281,N/A
N/A,lillililillilillilil,N/A,N/A,N/A
동방예대vs숭의여대vs연성대,제발제발제발제발 ㅠ,01:08,38,N/A
N/A,제발제발제발제발 ㅠ,N/A,N/A,N/A
수능장 앞에 손목시계 팔까요....?ㅠ,누눈눈,01:05,540,N/A
N/A,누눈눈,N/A,N/A,N/A
한국사봐야되나요,IiiIiiIiIIiIilIIil,01:05,121,N/A
N/A,IiiIiiIiIIiIilIIil,N/A,N/A,N/A
담요로 베개,iilliiillliilil,01:05,116,N/A
N/A,iilliiillliilil,N/A,N/A,N/A
생윤 4등급,ynni,01:05,163,N/A
N/A,ynni,N/A,N/A,N/A
아주대 영문과 면접,공룡의발차기,01:05,48,N/A
N/A,공룡의발차기,N/A,N/A,N/A
가채점표 양식,lilllilllliiiiilliii,01:04,109,N/A
N/A,lilllilllliiiiilliii,N/A,N/A,N/A
하 한국사…,lllliillliki,01:04,121,N/A
N/A,lllliillliki,N/A,N/A,N/A
지구과학이 암기만으로 되는거 맞나요,25학번 간다,01:03,138,N/A
N/A,25학번 간다,N/A,N/A,N/A
이제잡니다,IiiIiiIiIIiIilIIil,01:03,125,N/A
N/A,IiiIiiIiIIiIilIIil,N/A,N/A,N/A
신분증이랑 원서사진이랑 실물이랑,햄치즈냥이,01:03,139,N/A
N/A,햄치즈냥이,N/A,N/A,N/A
수능 전날 부모님과 다툼,LWEOEN,01:02,558,N/A
N/A,LWEOEN,N/A,N/A,N/A
진짜 조금만 틀려도 등급이랑 대학이 확 바뀌는게,25학번 간다,01:02,176,N/A
N/A,25학번 간다,N/A,N/A,N/A
면접 복장 좀 봐주세요 ㅠㅠ,li1li,01:02,148,N/A
N/A,li1li,N/A,N/A,N/A
잠ㅇ이안와오ㅠㅠㅠ하,lIlIlIIIIIII,01:00,178,N/A
N/A,lIlIlIIIIIII,N/A,N/A,N/A
스카에서 공부하다가 늦게 들어왔는데,이것도못해,01:00,535,N/A
N/A,이것도못해,N/A,N/A,N/A
가채점표,우웅오,00:59,141,N/A
N/A,우웅오,N/A,N/A,N/A
경북대 vs 홍익대,어다나낸,00:59,205,N/A
N/A,어다나낸,N/A,N/A,N/A
왜 잠이 안오는걸까요,Yayusidibeu171,00:58,328,N/A
N/A,Yayusidibeu171,N/A,N/A,N/A
화학과 진로 어떤가요ㅠ,illlilillllililll,00:57,87,N/A
N/A,illlilillllililll,N/A,N/A,N/A
면접 30% 비중 많이 높나요?,ppppppppqqq,00:57,207,N/A
N/A,ppppppppqqq,N/A,N/A,N/A
너무 긴장되서 잠이 안어ㅏ요..,묵찌빠 전공,00:55,373,N/A
N/A,묵찌빠 전공,N/A,N/A,N/A
신분증,푸릉구릉,00:53,217,N/A
N/A,푸릉구릉,N/A,N/A,N/A
흠,무조건붙는다생각해,00:53,48,N/A
N/A,무조건붙는다생각해,N/A,N/A,N/A
단국대 천안 내신,햄치즈냥이,00:53,167,N/A
N/A,햄치즈냥이,N/A,N/A,N/A
부경대 난리네요,캠퍼토리,00:52,677,N/A
N/A,캠퍼토리,N/A,N/A,N/A
동덕여대 가천대 음대,동글동감자,00:52,241,N/A
